match id,team1,team1_id,team1_roster_ids,team2,team2_id,team2_roster_ids,winner,winner_id,toss winner,toss decision,venue,city,match_dt,lighting,series_name,season,ground_id,team_count_50runs_last15,team_winp_last5,team1only_avg_runs_last15,team1_winp_team2_last15,ground_avg_runs_last15,winner_01,toss_winner_01,toss_decision_01,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11,player12,Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Player9,Player10,Player11,Player12,team2_sum_player_avg_economy,team1_sum_player_avg_economy,team_avg_economy_ratio,y_pred_01,win_pred_score,wplayer1,wplayer2,wplayer3,wplayer4,wplayer5,wplayer6,wplayer7,wplayer8,wplayer9,wplayer10,wplayer11,wplayer12,WPlayer1,WPlayer2,WPlayer3,WPlayer4,WPlayer5,WPlayer6,WPlayer7,WPlayer8,WPlayer9,WPlayer10,WPlayer11,WPlayer12,team1_average_boundaries_to_balls_bowled_ratio,team2_average_boundaries_to_balls_bowled_ratio,team1_to_team2_average_boundaries_to_balls_bowled_ratio,team2_to_team1_wicket_ratio
9331181,Ba,11283,9373356.0:7857520.0:4232164.0:4566540.0:3299407.0:232000.0:7883504.0:8725723.0:7878989.0:2526390.0:8725730.0:4017523.0,Hl Ph,12634,3500958.0:4231751.0:2735081.0:2035102.0:3698337.0:5058192.0:6844718.0:4566526.0:6596582.0:4161975.0:7952804.0:8465057.0,Hl Ph,12634,Hl Ph,field,Hr Ct Sm Ie,Indore,20-10-2022,day/night match,Sd Mq Ai Ty,2022/23,7398,1.666666667,0.672131148,139,100,157.1785714,1,1,0,0,0,0,0,8.060243902,0,6.222222222,0,7.0425,8.002,0,7.508947368,0,0,0,7.805238095,0,0,0,0,0,0,0,7.8625,15.6677381,36.83591349,2.351067734,1,0.574666166,0,0,0,0,0.122653317,0,0.08974359,0,0.105590062,0.189873418,0,0.173267327,0,0,0,0.164141414,0,0,0,0,0,0,0,0.19858156,0.056760643,0.030226915,1.877817952,0.591955774
8797060,Ed,20,2089079.0:6139370.0:2076192.0:62432.0:2083409.0:172199.0:2022957.0:1482998.0:1711492.0:4507208.0:3231437.0,Wt Is,41,4690258.0:4069666.0:4230127.0:1942317.0:1613926.0:2740408.0:4739552.0:5744850.0:4690104.0:3715697.0:3468870.0,Ed,20,Wt Is,field,Kn Ol Bn Bs,Bridgetown,23-01-2022,day/night match,Ed tr of Wt Is,2021/22,1406,1.285714286,1.952380952,156,50,103.5,0,1,0,0,0,0,8.255316456,0,0,8.499479167,8.480175439,7.641898734,8.557037037,8.15893617,0,0,0,0,0,8.774615385,8.660886076,9.547307692,9.963541667,7.762173913,7.193,9.545714286,0,61.44723902,49.592843,0.807080087,0,0.565130353,0,0,0,0.141615986,0,0,0.1700611,0.144036697,0.130665097,0.204262877,0.178894472,0,0,0,0,0,0.125592417,0.181180596,0.217484009,0.22361809,0.152671756,0.12962963,0.202872531,0,0.080794686,0.102754086,0.78629171,0.997877093
9433269,We,10576,3298427.0:2288789.0:7773338.0:3519011.0:3681957.0:7671313.0:5320118.0:2922611.0:7184232.0:7661996.0:6240632.0,Ne,8987,4003390.0:1749075.0:1626526.0:4172447.0:5516720.0:7328110.0:125915.0:130437.0:7507303.0:4420828.0:5652828.0,We,10576,Ne,field,Tt Be Nm,Nottingham,02-06-2023,day/night match,Vy Bt,2023,251,0.857142857,0.672131148,173.2666667,0,154.3333333,0,1,0,7.132272727,8.480645161,0,7.136349206,0,0,0,0,9.547142857,8.998888889,11.33037037,0,0,0,10,7.666666667,0,13.534,8.566296296,7.603030303,7.874225352,7.971219512,10.09692308,0,73.31236121,52.62566921,0.717828049,1,0.517891662,0.105555556,0.146341463,0,0.116533139,0,0,0,0,0.22,0.217391304,0.253578732,0,0,0,0.166666667,0.125,0,0.285714286,0.124694377,0.135882832,0.166875784,0.12899106,0.247474747,0,0.08828335,0.115108313,0.766958941,1.004770783
9587073,Ga An Ws,36084,8127230.0:4690328.0:4069666.0:7960847.0:4690188.0:4739580.0:4739552.0:5744850.0:2294823.0:9266102.0:284339.0,Bs Rs,36070,3462080.0:2436405.0:1798705.0:7550857.0:5742470.0:2740408.0:3575774.0:3200756.0:334963.0:6399210.0:6347494.0,Ga An Ws,36084,Ga An Ws,bat,Bn La Sm Ta Td,Tarouba,10-09-2023,day match,Cn Pr Le,2023,14300,2.166666667,1.975609756,164.2666667,50,144.25,0,0,1,6.5,7.633333333,0,0,0,9.543913043,9.547307692,9.963541667,8.644130435,8.166666667,6.90358209,0,8.20875,7.3259375,0,0,11.05647059,8.660886076,7.5,8.6725,8.139354839,7.806551724,8.803333333,0,76.17378406,66.90247493,0.878287402,0,0.565130353,0.166666667,0.131410256,0,0,0,0.230769231,0.217484009,0.22361809,0.168789809,0.147058824,0.109128346,0,0.144927536,0.153631285,0,0,0.23255814,0.181180596,0.166666667,0.186654644,0.133879781,0.130366901,0.176789588,0,0.116243769,0.125554595,0.925842415,1.06253859
9516457,Pb Ks,30407,8127181.0:197658.0:4239038.0:2398346.0:5053082.0:4640824.0:5038046.0:8180500.0:2035102.0:3851518.0:7881845.0:7453697.0,Gt Ts,48341,1958683.0:7491224.0:8059029.0:4377610.0:2252452.0:2966879.0:5554254.0:4690230.0:3373285.0:3759846.0:6496482.0,Gt Ts,48341,Gt Ts,field,Pb Ct An IS Ba Sm Mi Ch,Chandigarh,13-04-2023,night match,In Pr Le,2023,7118,0.818181818,1.327868852,164.6666667,0,189,1,1,0,0,0,8.88483871,0,0,8.702705882,0,6.972972973,7.805238095,8.350806452,8.394324324,7.191052632,0,0,0,8.5222,0,8.347666667,6.827313433,8.402833333,7.955,8.139047619,0,0,48.19406105,56.30193907,1.168233966,1,0.553704387,0,0,0.156862745,0,0,0.179166667,0,0.125356125,0.164141414,0.187454939,0.18504436,0.115874855,0,0,0,0.168433451,0,0.147806005,0.114184625,0.185703186,0.185958254,0.182432432,0,0,0.092825092,0.082043163,1.131417768,0.845027191
9457412,Ka Ts,42573,393371.0:1594347.0:9470873.0:7960847.0:4403426.0:2614779.0:305143.0:4403503.0:4731628.0:2436356.0:2436776.0,Cm Cs,40424,7864009.0:4502392.0:6551978.0:2820957.0:2804122.0:3125506.0:8072056.0:7084972.0:2875354.0:6149268.0:393182.0,Cm Cs,40424,Cm Cs,field,Se Ba Nl Sm Mr,Dhaka,09-01-2023,night match,Bh Pr Le,2022/23,14188,1,1,158.4444444,50,147.9333333,1,1,0,0,0,0,0,0,0,8.733061224,8.325238095,7.952666667,6.988139535,8.301612903,0,0,0,9.772727273,8.666666667,0,0,7.449444444,9.087058824,9.75,9.895,8.477272727,0,63.09816993,40.30071842,0.638698689,1,0.513152133,0,0,0,0,0,0,0.193989071,0.164414414,0.166112957,0.11837655,0.158385093,0,0,0,0.208333333,0.141025641,0,0,0.124338624,0.214689266,0.25,0.213709677,0.160714286,0,0.066773174,0.109400902,0.610353045,1.405426024
9292548,Aa,27,7537004.0:37351.0:1870357.0:2275195.0:4635658.0:6249256.0:1611364.0:5788320.0:3429236.0:2656541.0:2018001.0,Ia,55,2954769.0:238727.0:1776627.0:3125562.0:4377610.0:210328.0:3882850.0:2733380.0:2282125.0:4377694.0:3011735.0,Ia,55,Ia,field,Rv Gi Il Sm Ul Hd,Hyderabad,25-09-2022,night match,Aa tr of Ia,2022,13880,0.7,1.487804878,141.4,50,0,1,1,0,8.479375,10,0,8.196515152,0,8.661481481,0,9.405394737,9.034615385,7.390147059,7.993404255,0,0,16.5,0,0,8.5222,18,7.40296875,8.582181818,7.384714286,7.34969697,7.799285714,0,81.54104754,69.16093307,0.848173223,1,0.508952758,0.191666667,0.166666667,0,0.14071511,0,0.139372822,0,0.198558322,0.19137931,0.130006566,0.182683159,0,0,0.285714286,0,0,0.168433451,0.333333333,0.13200307,0.175170068,0.162558294,0.142473118,0.14229765,0,0.111754052,0.128498606,0.869690773,1.029311552
9271758,Ja Ks,47501,6818622.0:5490596.0:6551978.0:4403545.0:298612.0:1634611.0:3162487.0:8067002.0:7968225.0:8072056.0:4403573.0,Ge Gs,47494,6517118.0:4403531.0:4932864.0:2214792.0:7520344.0:3364234.0:1594319.0:305143.0:2270519.0:3008179.0:6686658.0,Ja Ks,47501,Ja Ks,bat,R Pa Sm Co,Colombo,18-12-2022,day match,La Pr Le,2022/23,7041,0.909090909,1.487804878,156.1538462,40,129.9333333,0,0,1,0,0,9.772727273,0,7.365357143,9.155,9.572105263,7.818181818,6.842089552,7.449444444,7.090952381,0,7.5,0,0,0,5,9.438055556,6.749487179,8.733061224,11.32421053,7.081111111,7.843333333,0,63.66925893,65.06585787,1.021935216,0,0.517610638,0,0,0.208333333,0,0.102409639,0.201818182,0.200892857,0.11827957,0.11474359,0.124338624,0.148063781,0,0.111111111,0,0,0,0,0.135278515,0.12222888,0.193989071,0.231168831,0.1,0.169527897,0,0.101573298,0.088608692,1.146313027,0.974550526
9331048,Hl Ph,12634,3500958.0:4231751.0:2735081.0:3698337.0:5058192.0:2035102.0:6844718.0:8228296.0:4566526.0:6596582.0:8465057.0:4161975.0,Sa,14860,9098571.0:227793.0:5977026.0:8442244.0:1663885.0:4192558.0:6698110.0:9009265.0:3691547.0:2733401.0:4141556.0:6785582.0,Hl Ph,12634,Sa,field,Hr Ct Sm Ie,Indore,18-10-2022,day/night match,Sd Mq Ai Ty,2022/23,7398,0.272727273,0.50617284,138.5,0,157.6923077,0,1,0,0,0,0,0,0,7.805238095,0,0,0,0,7.8625,0,0,0,0,0,0,0,9.666666667,0,0,7.889655172,0,0,17.55632184,15.6677381,0.89242714,1,0.552032817,0,0,0,0,0,0.164141414,0,0,0,0,0.19858156,0,0,0,0,0,0,0,0.201149425,0,0,0.160120846,0,0,0.030226915,0.030105856,1.004021098,0.843983603
9123162,Id,216,2124002.0:2123974.0:7695666.0:6729862.0:6496412.0:2436251.0:3685100.0:2921680.0:2550414.0:6496482.0:8609684.0,Ia,55,3479860.0:5043310.0:3125562.0:4377610.0:210328.0:7422673.0:3882850.0:2282125.0:4859490.0:3011735.0:8725709.0,Ia,55,Ia,field,Te Ve Me Dn,Dublin,26-06-2022,day match,Ia tr of Id,2022,6831,0.347826087,0.50617284,154.2666667,0,148.5,1,1,0,7.606111111,0,8.108,7.25,0,8.828823529,7.724888889,8.258947368,7.453703704,0,9.48,0,7.135333333,0,0,8.5222,18,0,7.40296875,7.384714286,8.1608,7.799285714,10.24172414,0,74.64702622,64.7104746,0.866886169,1,0.552032817,0.113095238,0,0.12654321,0.104166667,0,0.135021097,0.162190083,0.11299435,0.147619048,0,0.205128205,0,0.134078212,0,0,0.168433451,0.333333333,0,0.13200307,0.162558294,0.180073126,0.14229765,0.245644599,0,0.092229825,0.124868478,0.738615752,0.99047093
