match id,dataset_type,win_pred_team_id,win_pred_score,win_ratio,inning_runs/ball,team_bat_avg,team_f_1,team1_to_team2_average_boundaries_to_balls_bowled_ratio,team_f_2,team_winp_last5,team1_winp_team2_last15,team_count_50runs_last15,toss_winner_01,train_algorithm,is_ensemble,train_hps_trees,train_hps_depth,train_hps_lr
9250275,r1,28594,0.6418941,2.5,0,0.7709844559585493,1.0338034877317828,0.290964882,0,0.019607843,0,0,1,XGBoost,no,280,14,0.18
9262189,r1,36084,0.6075206,1.341666667,1.2032979809500186,1.142016988269223,1.0431898623867757,0.997982559,1.1457156765310132,0.344262295,66.67,0.615384615,1,XGBoost,no,280,14,0.18
9128776,r1,30428,0.5256574,0.93006993,1.1165019162019478,1.0605899738873636,1.0441556479510117,0.943497719,0.9387624789876184,0.75308642,100,0.842105263,0,XGBoost,no,280,14,0.18
9586919,r1,36098,0.59401006,0.903010033,1.1353049711161343,0.8000860431915152,0.898380795,0.914496594,1.0104042449528399,1.487804878,75,0.285714286,1,XGBoost,no,280,14,0.18
9128538,r1,48341,0.5578381,0.888888889,1.064695139293012,0.9955136835578636,1.0061054551377304,0.859763334,0.9953103064204577,0.31032954,0,2.375,1,XGBoost,no,280,14,0.18
9516653,r1,30407,0.54451954,0.846153846,0.9234954804947669,0.8874034182364064,0.9615318020538391,0.876842981,1.1621666768572887,0.672131148,50,0.4,1,XGBoost,no,280,14,0.18
9516534,r1,30414,0.69674104,0.576,0.9768939491713814,0.9132835665488611,0.964864496,1.009217968,0.7788271542280847,0.344262295,25,0.681818182,1,XGBoost,no,280,14,0.18
9085474,r1,9701,0.54998845,1.3125,0.9870715835140997,1.0376838542933033,1.1390475080816824,0.632318738,1.0088274709928498,0.603960396,0,3.2,1,XGBoost,no,280,14,0.18
9433752,r1,7727,0.7392677,1.971428571,0.9782930747485848,1.225259479061307,1.190273989782576,0.812220296,0.8309136172018222,2.904761905,100,2.428571429,1,XGBoost,no,280,14,0.18
9516359,r1,30428,0.67213845,1.682692308,1.076223397057832,1.2081649665539016,1.0614833570956392,1.04519969,1.167473167044506,21,66.67,1.727272727,1,XGBoost,no,280,14,0.18
9262133,r1,38814,0.68264055,0.956521739,1.1443431967116746,0.9089561655791756,0.9736851358934859,1.077522831,0.8455582736126254,1.487804878,66.67,1.714285714,1,XGBoost,no,280,14,0.18
9782086,r1,202,0.56316906,1.777777778,1.3320314807569915,0.968275793,1.1411636565450896,0.589026893,0.7655067058376123,1.952380952,0,1.5,0,XGBoost,no,280,14,0.18
9271807,r1,47501,0.84968865,0.6,0.9375835980423962,0.8323528153259155,0.8723398709158077,1.135638897,0.8788179384903642,0.50617284,0,0.6,1,XGBoost,no,280,14,0.18
9644102,r1,48,0.54967535,1.0125,1.0786892446633827,1.3716903407670087,1.1517948168211705,1.283501772,0.7310678109140789,1.487804878,0,3.4,1,XGBoost,no,280,14,0.18
9256386,r1,62,0.67624456,0.693313954,0.8683334120090634,0.5928922161583448,0.8992573272906541,1.479628859,0.9905676964096265,0.024390244,0,0.444444444,0,XGBoost,no,280,14,0.18
9272773,r1,33921,0.6262384,1.369369369,1.0776866439815636,1.066987139,0.9578868239486051,1.014303293,1.163488182639661,2.904761905,50,0.909090909,1,XGBoost,no,280,14,0.18
9433850,r1,10576,0.50700974,0.786290323,0.9263670724894434,0.7527009470015353,1.0391335412800113,0.706472481,1.1203330881583666,1,50,0.666666667,0,XGBoost,no,280,14,0.18
9615073,r1,20,0.5425878,0.762987013,1.02947378,0.9188403462217851,0.908481009,0.981049076,1.0239689394773064,2.904761905,60,0.923076923,1,XGBoost,no,280,14,0.18
